"Total Time","Mean Performance","Wallclock Time","Incumbent ID","Automatic Configurator Time","Configuration..."
0.0673, 100000000, 0.0002, 0, 0.0673, gs='25', ps='20'
0.1678, 8273.0, 5.1817, 0, 0.0678, gs='25', ps='20'
0.8724, 8273.0, 42.6682, 0, 0.0724, gs='25', ps='20'
1.8772, 8273.0, 94.7268, 0, 0.0772, gs='25', ps='20'
2.3797, 8273.0, 120.8418, 0, 0.0797, gs='25', ps='20'
2.9832, 8273.0, 151.2397, 0, 0.0832, gs='25', ps='20'
3.6870, 8273.0, 188.6402, 0, 0.0870, gs='25', ps='20'
4.4909, 8273.0, 229.2729, 0, 0.0909, gs='25', ps='20'
4.6924, 8273.0, 240.7079, 0, 0.0924, gs='25', ps='20'
4.8951, 8273.0, 250.1413, 0, 0.0951, gs='25', ps='20'
5.9007, 8273.0, 302.2030, 0, 0.1007, gs='25', ps='20'
7.1088, 8273.0, 365.9079, 0, 0.1088, gs='25', ps='20'
8.2154, 8273.0, 422.2602, 0, 0.1154, gs='25', ps='20'
9.5223, 8273.0, 490.8986, 0, 0.1223, gs='25', ps='20'
11.0300, 8273.0, 568.6832, 0, 0.1300, gs='25', ps='20'
12.5380, 8273.0, 645.4518, 0, 0.1380, gs='25', ps='20'
14.2474, 8273.0, 734.6457, 0, 0.1474, gs='25', ps='20'
15.8578, 8273.0, 817.8584, 0, 0.1578, gs='25', ps='20'
17.7718, 8273.0, 916.2639, 0, 0.1718, gs='25', ps='20'
19.7837, 8273.0, 1020.4344, 0, 0.1837, gs='25', ps='20'
21.6948, 8273.0, 1119.2073, 0, 0.1948, gs='25', ps='20'
23.9093, 8273.0, 1234.5896, 0, 0.2093, gs='25', ps='20'
26.1223, 8273.0, 1348.2575, 0, 0.2223, gs='25', ps='20'
28.4364, 8273.0, 1468.7754, 0, 0.2364, gs='25', ps='20'
30.9522, 8273.0, 1598.8469, 0, 0.2522, gs='25', ps='20'
33.5688, 8273.0, 1733.1653, 0, 0.2688, gs='25', ps='20'
36.2867, 8273.0, 1874.5413, 0, 0.2867, gs='25', ps='20'
39.1077, 8273.0, 2019.3532, 0, 0.3077, gs='25', ps='20'
42.0265, 8273.0, 2170.1942, 0, 0.3265, gs='25', ps='20'
45.0479, 8273.0, 2326.3175, 0, 0.3479, gs='25', ps='20'
45.1492, 8273.0, 2331.5087, 27, 0.3492, gs='5', ps='50'
45.2502, 8273.0, 2337.7064, 27, 0.3502, gs='5', ps='50'
47.5676, 8273.0, 2456.4239, 27, 0.3676, gs='5', ps='50'
48.0727, 8273.0, 2482.3484, 27, 0.3727, gs='5', ps='50'
48.7783, 8273.0, 2519.6144, 27, 0.3783, gs='5', ps='50'
50.7934, 8273.0, 2622.2316, 27, 0.3934, gs='5', ps='50'
52.8086, 8273.0, 2726.9083, 27, 0.4086, gs='5', ps='50'
55.4275, 8273.0, 2861.6036, 27, 0.4275, gs='5', ps='50'
58.8509, 8273.0, 3037.8344, 27, 0.4509, gs='5', ps='50'
61.7742, 8273.0, 3187.3746, 27, 0.4742, gs='5', ps='50'
63.7910, 8273.0, 3292.5914, 27, 0.4910, gs='5', ps='50'
65.8077, 8273.0, 3396.5404, 27, 0.5077, gs='5', ps='50'
68.1275, 8273.0, 3515.2460, 27, 0.5275, gs='5', ps='50'
72.4637, 8273.0, 3739.0965, 27, 0.5637, gs='5', ps='50'
76.7044, 8273.0, 3958.8842, 27, 0.6044, gs='5', ps='50'
80.7425, 8273.0, 4166.1069, 27, 0.6425, gs='5', ps='50'
85.0788, 8273.0, 4390.8876, 27, 0.6788, gs='5', ps='50'
88.0055, 8273.0, 4541.8753, 27, 0.7055, gs='5', ps='50'
91.1348, 8273.0, 4702.0871, 27, 0.7348, gs='5', ps='50'
95.4716, 8273.0, 4926.7757, 27, 0.7716, gs='5', ps='50'
95.5734, 8273.0, 4931.9731, 13, 0.7734, gs='15', ps='50'
96.5832, 8273.0, 4983.9926, 13, 0.7832, gs='15', ps='50'
97.5936, 8273.0, 5035.0566, 13, 0.7936, gs='15', ps='50'
98.8052, 8273.0, 5098.5177, 13, 0.8052, gs='15', ps='50'
100.8240, 8273.0, 5202.6597, 21, 0.8240, gs='5', ps='30'
100.8241, 8273.0, 5202.6598, 21, 0.8241, gs='5', ps='30'
